﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿IDOFFRE;POSTE;CONTRAT;SALAIRE;DIPLOME;EXPERIENCE;TRAVAIL;DESCRIPTION;IDSTARTUP








0;Chef de projet digital;Stage (6 à 12 mois);Début :  19 septembre 2020;Bac +4;> 6 mois;Télétravail partiel possible;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
1;Chargé(e) de projet Digital Learning;CDD / Temporaire (12 mois);Début :  1 décembre 2020;Bac +5 / Master;> 2 ans;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles. 4 ans après son lancement, WeTechCare fait figure d’acteur de référence sur le sujet de l’inclusion numérique en France et bientôt en Belgique.;8
2;STAGE CHARGÉ(E) DE PROJET DIGITAL LEARNING;Stage (6 à 12 mois);Début :  1 janvier 2021;Bac +5 / Master;> 6 mois;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
3;Growth Marketing;CDD / Temporaire (12 mois);Début :  1 décembre 2020;Bac +5 / Master;> 2 ans;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles. 4 ans après son lancement, WeTechCare fait figure d’acteur de référence sur le sujet de l’inclusion numérique en France et bientôt en Belgique.;8
4;Chef de Projet Le Déclic;CDD / Temporaire ;Paris;> 2 ans;;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
5;Product owner (alternance);Alternance (12 mois);Début :  1 décembre 2020;Bac +3;> 1 an;Télétravail partiel possible;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
6;Chef.fe de projets opérations (stage);Stage (6 mois);Début :  4 janvier 2021;Bac +5 / Master;;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
7;Responsable Sales Ops;CDD / Temporaire (9 à 12 mois);Début :  2 novembre 2020;Bac +5 / Master;> 2 ans;Télétravail partiel possible;L’ambition de WeTechCare ?Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles. 4 ans après son lancement, WeTechCare fait figure d’acteur de référence sur le sujet de l’inclusion numérique en France et en Belgique.;8
8;Stage de consultant(e) ;Stage (6 mois);Début :  3 janvier 2021;Bac +5 / Master;;SocialTech / GreenTech;WeTechCare est une start-up sociale ayant pour mission de faire du numérique un véritable levier d’inclusion, quand celui-ci est encore un frein à l’accès aux services essentiels pour les populations les plus fragiles.;8



9;Stage développement et intégration de plugins pour solution de visioconference F/H;Stage (3 à 6 mois);Caen;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
10;Stage développement informatique, automatisation de process PPC/UINDF - F/H;Stage (3 à 6 mois);Hellemmes-Lille;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
11;Stage gestion de projet communication interne F/H à Paris;Stage (3 à 6 mois);Paris;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
12;Stage - chargée - chargé d'audit réseau;Stage (3 à 6 mois);Blagnac;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
13;Consultante - Consultant architecte fonctionnel SI Télécom OSS/BSS;CDI ;Vincennes;> 10 ans;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
14;Stage Chargée - chargé communication RH;Stage (3 à 6 mois);Lyon;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
15;Stage gestion automatisée des droits d'accès aux parkings d'OGS F/H;Stage (3 à 6 mois);Villeneuve-D'ascq;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
16;Stage - Assistante - Assistant Marketing Communication Orange 5G Lab;Stage (6 mois);Chatillon;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
17;STAGE - Développement outil de simulation de stratégies pour les enchères de spectre 5G;Stage (6 mois);Chatillon;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
18;Stage - Chargée - Chargé d'études Marketing Domaine Divertissement & Digital Orange France;Stage (6 mois);Arcueil;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
19;Stage AMOA F/H;Stage (4 à 6 mois);32 Avenue Léonard De Vinci 33600 Pessac;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
20;STAGE - Assistante - Assistant Contrôle de gestion F/H à Chatillon;Stage (6 mois);Chatillon;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
21;Stage ingénieur qualité - Mise en œuvre de la méthode value stream mapping;Stage (3 à 6 mois);Caluire-Et-Cuire;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
22;STAGE - Designer formations digitales chez Orange Campus Cybersécurité F/H à Montpellier;Stage (6 mois);Montpellier;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
23;STAGE - Etude de propagation de virus dans un réseau 5G par simulation multi-agents F/H;Stage (6 mois);Chatillon;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
24;Stage Recherche Quantum Key Distribution - QKD F/H à Chatillon;Stage (6 mois);Chatillon;> 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
25;Stage - Architecture système pour le confidential computing F/H;Stage (6 mois);Chatillon;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
26;Développeurs Java/JEE Senior H/F;CDI ;Idf;> 5 ans;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
27;Développeurs JAVA/JEE Junior;CDI ;Paris;> 1 an;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
28;Développeurs ANGULAR H/F;CDI ;54 Place De L'ellipse;> 4 ans;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
29;Stage Analyse d'un outil d'aide à la décision/l'optimisation budget et ressources F/H;Stage (6 mois);Chatillon;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
30;Stage - Intégrateur de solution d'exposition réseau via API F/H;Stage (6 mois);Chatillon;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
31;Architecte Data Sénior F/H;CDI ;Rennes;> 5 ans;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
32;Architecte Data Splunk F/H;CDI ;Rennes;> 4 ans;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
33;Ingénieur Développeur DATA SPLUNK F/H;CDI ;Rennes;> 2 ans;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
34;Ingénieur système F/H;Stage (4 à 6 mois);Massy;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
35;STAGE - Chargé-e d'étude de la propagation de l'information dans l'entreprise à Chatillon;Stage (6 mois);Chatillon;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
36;Stage - Community manager and skills development F/H sur La Plaine Saint-Denis;Stage (6 mois);La Plaine Saint-Denis;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
37;STAGE - Ingénieur d'études et développement Système d'Information à LANNION F/H;Stage (6 mois);Lannion;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
38;Stage - Développeur Microsoft / .Net / Azure F/H;Stage (2 à 6 mois);La Défense;< 6 mois;;Big Data, Electronique / Télécommunications, Objets connectés;Orange a besoin de vous pour conquérir de nouveaux territoires.;12
39;Digital & Product Marketing - Internship;Stage ;Paris;;;Media, Software;Streamroot develops innovative video streaming solutions combining traditional broadcasting and peer-to-peer protocols. Their technologies allow online video platforms to scale to growing audiences while improving quality of service for users.;13
40;Finance and Operations Intern;Stage ;Paris;;;Media, Software;Streamroot develops innovative video streaming solutions combining traditional broadcasting and peer-to-peer protocols. Their technologies allow online video platforms to scale to growing audiences while improving quality of service for users.;13
41;Media and SDK Engineer;CDI ;Paris;> 1 an;;Media, Software;Streamroot develops innovative video streaming solutions combining traditional broadcasting and peer-to-peer protocols. Their technologies allow online video platforms to scale to growing audiences while improving quality of service for users.;13
42;Peer-to-Peer Software Engineer;CDI ;Paris;> 1 an;;Media, Software;Streamroot develops innovative video streaming solutions combining traditional broadcasting and peer-to-peer protocols. Their technologies allow online video platforms to scale to growing audiences while improving quality of service for users.;13
43;Product Manager - Internship;Stage ;Paris;;;Media, Software;Streamroot develops innovative video streaming solutions combining traditional broadcasting and peer-to-peer protocols. Their technologies allow online video platforms to scale to growing audiences while improving quality of service for users.;13
44;Scalability and Reliability Engineer - SRE;CDI ;Paris;> 3 ans;;Télétravail total possible;Streamroot develops innovative video streaming solutions combining traditional broadcasting and peer-to-peer protocols. Their technologies allow online video platforms to scale to growing audiences while improving quality of service for users.;13
45;Senior CDN Sales Overlay West Coast, Lumen-Streamroot;CDI ;Los Angeles;> 10 ans;;Media, Software;Streamroot develops innovative video streaming solutions combining traditional broadcasting and peer-to-peer protocols. Their technologies allow online video platforms to scale to growing audiences while improving quality of service for users.;13
46;[CDI] Product Manager @ KLS;CDI ;Début :  24 octobre 2020;Paris;Bac +5 / Master;Télétravail ponctuel autorisé;KLS, c’est une start up, B2B proposant une plateforme Saas, dédiée aux banquiers et investisseurs. Ces acteurs du financement de l’économie font face aujourd’hui à des enjeux de réactivité, de sécurité et à des usages en pleine transformation.;14
47;[CDI] Développeur Front-End React @ KLS;CDI ;Début :  31 août 2020;Paris;> 5 ans;Télétravail partiel possible;KLS, c’est une startup, B2B proposant une plateforme SaaS, dédiée aux banquiers et investisseurs. Ces acteurs du financement de l’économie font face aujourd’hui à des enjeux de réactivité, de sécurité et à des usages en pleine transformation.;14



48;Senior Mobile Developer;CDI ;Début :  7 décembre 2020;Lyon;;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
49;Senior Front-end Developer;CDI ;Début :  30 novembre 2020;Lyon;> 4 ans;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
50;Senior Data Engineer ;CDI ;Début :  30 novembre 2020;Lyon;> 4 ans;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
51;Senior Back-end Developer;CDI ;Début :  30 novembre 2020;Lyon;> 4 ans;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
52;Android Developer;CDI ;Début :  7 décembre 2020;Lyon;;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
53;Key Account Executive;CDI ;Début :  14 décembre 2020;Paris;Bac +5 / Master;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
54;Business Developer / SDR [stage/alternance];Alternance (6 à 18 mois);Début :  9 novembre 2020;Paris;Bac +2;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
55;Business Developer / SDR (German native);CDI ;Début :  7 décembre 2020;Paris;Bac +2;Télétravail ponctuel autorisé;"Batch is the PUSH expert ! The company was created in 2014 to help brands and media organisations communicate better with their mobile customers; on iPhone, Android and websites.Those little ‘notifications’ that you receive on your smartphone throughout the day? It’s Batch who sends them.Example :The French bank, Société Générale, sends you a push message because your salary has been paid into your account? That’s them.The news application BFM TV sends you a message with a breaking news story? That’s them too.The electric moped app sends you a promotional message? That’s them again!";18
56;Senior Product Specialist;CDI ;Début :  4 janvier 2021;Paris;> 5 ans;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
57;Junior Product Specialist (German native);CDI ;Début :  14 décembre 2020;Paris;Bac +4;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
58;Junior Product Specialist [Alternance];Alternance (9 à 18 mois);Début :  4 janvier 2021;Paris;Bac +4;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
59;Customer Success Associate (German native);CDI ;Début :  14 décembre 2020;Paris;> 1 an;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
60;Data analyst / Data engineer ;CDI ;Début :  7 décembre 2020;Bac +4;> 3 ans;AdTech  / MarTech, Application mobile, SaaS / Cloud Services;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
61;Data analyst and Operations;CDI ;Début :  7 décembre 2020;Bac +4;> 3 ans;AdTech  / MarTech, Application mobile, SaaS / Cloud Services;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
62;Business Developer / SDR;CDI ;Début :  7 décembre 2020;Paris;Bac +2;AdTech  / MarTech, Application mobile, SaaS / Cloud Services;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
63;Key Account Executive (German native);CDI ;Début :  4 janvier 2021;Paris;Bac +4;Télétravail ponctuel autorisé;"Batch is the PUSH expert ! The company was created in 2014 to help brands and media organisations communicate better with their mobile customers; on iPhone, Android and websites.Those little ‘notifications’ that you receive on your smartphone throughout the day? It’s Batch who sends them.Example :The French bank, Société Générale, sends you a push message because your salary has been paid into your account? That’s them.The news application BFM TV sends you a message with a breaking news story? That’s them too.The electric moped app sends you a promotional message? That’s them again!";18
64;Data analyst / Implémentations techniques;CDI ;Début :  7 décembre 2020;Bac +4;> 3 ans;AdTech  / MarTech, Application mobile, SaaS / Cloud Services;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
65;Sales Development Representative [stage/alternance];Alternance (6 à 18 mois);Début :  9 novembre 2020;Paris;Bac +2;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
66;Full-stack Developer;CDI ;Début :  30 novembre 2020;Lyon;> 2 ans;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
67;Business Developer / SDR (English native);CDI ;Début :  7 décembre 2020;Paris;Bac +2;Télétravail ponctuel autorisé;"Batch is the PUSH expert ! The company was created in 2014 to help brands and media organisations communicate better with their mobile customers; on iPhone, Android and websites.Those little ‘notifications’ that you receive on your smartphone throughout the day? It’s Batch who sends them.Example :The French bank, Société Générale, sends you a push message because your salary has been paid into your account? That’s them.The news application BFM TV sends you a message with a breaking news story? That’s them too.The electric moped app sends you a promotional message? That’s them again!";18
68;Junior Product Specialist (English native);CDI ;Début :  14 décembre 2020;Paris;Bac +4;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
69;Customer Success Associate (English native);CDI ;Début :  14 décembre 2020;Paris;> 1 an;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
70;Head of Marketing;CDI ;Début :  16 novembre 2020;Paris;> 4 ans;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
71;Customer Success Associate [stage/alternance];Alternance (6 à 18 mois);Début :  9 novembre 2020;Paris;> 6 mois;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
72;Customer Success Associate;CDI ;Début :  16 novembre 2020;Paris;> 1 an;Télétravail ponctuel autorisé;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
73;Key Account Executive (English native);CDI ;Début :  4 janvier 2021;Paris;Bac +4;Télétravail ponctuel autorisé;"Batch is the PUSH expert ! The company was created in 2014 to help brands and media organisations communicate better with their mobile customers; on iPhone, Android and websites.Those little ‘notifications’ that you receive on your smartphone throughout the day? It’s Batch who sends them.Example :The French bank, Société Générale, sends you a push message because your salary has been paid into your account? That’s them.The news application BFM TV sends you a message with a breaking news story? That’s them too.The electric moped app sends you a promotional message? That’s them again!";18
74;Responsable de la facturation / ADV [alternance];Alternance (6 à 18 mois);Début :  20 septembre 2020;Bac +2;> 6 mois;AdTech  / MarTech, Application mobile, SaaS / Cloud Services;Batch est l’expert du PUSH ! La société a été fondée en 2014 pour aider les marques & les médias à mieux communiquer avec leurs clients via leurs applications iPhone, Android, et sur leurs sites web. ;18
